ID Activo,Nombre del Activo,Descripción,Marca,Model,Cantidad,Sistema Operativo,Versión SO,Usuario Responsable,Equipo de Soporte,Ubicación,Servidor de Deployment,Fecha de Adquisición,Fecha de Última Actualización,Dirección MAC,Dirección IP,Nivel de Criticidad,Clasificación de Activo,Estado,Plan de Recuperación ante Desastres (DRP),Frecuencia de Monitoreo,Monitoreo de Seguridad,Auditoría de Acceso
SRV-001,Servidor On-Premise #1,Servidor principal de procesamiento de pagos,Dell,PowerEdge R740,1,Windows Server,2016,Departamento TI,Soporte TI On-Premise,Data Center Principal,No aplica,2/15/2020,3/10/2023,00:1B:44:11:3A:B7,192.168.1.10,Alta,Infraestructura Crítica,Operativo,No,Anual,Actualizaciones de seguridad,Auditoría de acceso mensual
SRV-002,Servidor On-Premise #2,Servidor para manejo de base de datos,Dell,PowerEdge R740,1,Windows Server,2016,Departamento TI,Soporte TI On-Premise,Data Center Principal,No aplica,5/15/2021,3/10/2023,00:1B:44:11:3A:B8,192.168.1.11,Alta,Infraestructura Crítica,Operativo,No,Anual,Actualizaciones de seguridad,Auditoría de acceso mensual
SRV-003,Servidor AWS EC2 #1,Servidor en la nube para servicios de banca en línea,AWS,t2.medium,1,Ubuntu,20.04,Equipo DevOps,Equipo Soporte Nube,AWS - US East,No aplica,6/20/2021,1/25/2023,No aplica,54.172.1.112,Alta,Infraestructura Crítica,Operativo,Sí,Mensual,"Firewall AWS, Security Groups",Auditoría de acceso mensual
LAP-001,Laptop Desarrollo #1,Laptop del equipo de desarrollo de software,Apple,MacBook Pro M1,1,macOS,Monterey,Equipo Desarrollo,Soporte IT,Oficina Principal,No aplica,4/10/2022,4/1/2023,00:1C:23:1F:55:A8,192.168.1.50,Media,Equipo de Usuario,Operativo,No,Anual,Solo actualizaciones,Auditoría de acceso mensual
LAP-002,Laptop Desarrollo #2,Laptop del equipo de desarrollo de software,Apple,MacBook Air M1,1,macOS,Monterey,Equipo Desarrollo,Soporte IT,Oficina Principal,No aplica,6/15/2022,4/1/2023,00:1C:23:1F:55:A9,192.168.1.51,Media,Equipo de Usuario,Operativo,No,Anual,Solo actualizaciones,Auditoría de acceso mensual
LAP-003,Laptop Seguridad #1,Laptop del equipo de seguridad,Lenovo,ThinkPad X1,1,Windows 10,Pro,Equipo Seguridad,Soporte IT,Oficina Principal,No aplica,1/5/2022,5/1/2023,00:1B:44:11:3A:C9,192.168.1.52,Media,Equipo de Usuario,Operativo,No,Anual,Solo actualizaciones,Auditoría de acceso mensual
LAP-004,Laptop Soporte #1,Laptop del equipo de soporte técnico,Dell,Latitude 5510,1,Windows 10,Pro,Equipo Soporte,Soporte IT,Oficina Principal,No aplica,9/10/2021,4/10/2023,00:1B:44:11:3A:C1,192.168.1.53,Media,Equipo de Usuario,Operativo,No,Anual,Solo actualizaciones,Auditoría de acceso mensual
LAP-005,Laptop Soporte #2,Laptop del equipo de soporte técnico,HP,ProBook 450,1,Windows 10,Pro,Equipo Soporte,Soporte IT,Oficina Principal,No aplica,9/10/2021,4/10/2023,00:1B:44:11:3A:C2,192.168.1.54,Media,Equipo de Usuario,Operativo,No,Anual,Solo actualizaciones,Auditoría de acceso mensual
FW-001,Firewall Palo Alto #1,Firewall de próxima generación para proteger la red,Palo Alto Networks,PA-220,1,PAN-OS,10.0.6,Departamento TI,Equipo Seguridad,Data Center Principal,No aplica,11/5/2019,7/20/2023,00:0F:EA:91:5B:D4,192.168.1.1,Alta,Security Crítica,Operativo,Sí,Mensual,Reglas de seguridad personalizadas,Auditoría de acceso mensual
FW-002,Firewall Fortinet,Firewall para seguridad adicional,Fortinet,FortiGate 60E,1,FortiOS,6.4.5,Departamento TI,Equipo Seguridad,Data Center Secundario,No aplica,9/15/2020,7/20/2023,00:0F:EA:91:5B:D5,192.168.2.1,Alta,Security Crítica,Operativo,Sí,Mensual,Reglas de seguridad personalizadas,Auditoría de acceso mensual
APP-001,Aplicación Móvil Trust Bank,Aplicación móvil para banca en línea,Interno,Versión 3.5,1,Android/iOS,N/A,Equipo Desarrollo,Soporte IT,Google Play / App Store,AWS,10/1/2020,6/1/2023,No aplica,No aplica,Alta,Software Crítico,Operativo,Sí,Mensual,Escaneo de vulnerabilidades,Auditoría de acceso mensual
DB-001,Base de Datos Clientes,Base de datos de clientes y cuentas,Oracle,12c,1,Oracle Linux,7.9,Equipo de DBAs,Equipo Soporte DB,Data Center Principal,No aplica,2/12/2021,3/22/2023,00:1D:92:15:2E:C4,192.168.1.200,Alta,Base de Datos Crítica,Operativo,Sí,Diaria,Actualización de CVE,Auditoría de acceso mensual
DB-002,Base de Datos Transacciones,Base de datos para registros de transacciones,PostgreSQL,13.3,1,Ubuntu,20.04,Equipo de DBAs,Equipo Soporte DB,Data Center Principal,No aplica,10/1/2020,3/22/2023,00:1D:92:15:2E:C5,192.168.1.201,Alta,Base de Datos Crítica,Operativo,Sí,Diaria,Actualización de CVE,Auditoría de acceso mensual
RT-001,Router Cisco #1,Router principal para la conectividad de red,Cisco,ISR 4331,10,IOS-XE,16.9.5,Departamento TI,Equipo Redes,Data Center Principal,No aplica,5/18/2018,4/15/2023,00:2B:81:76:8D:19,192.168.1.2,Alta,Infrastructura de Red,Operativo,No,Mensual,Actualización de reglas y monitoreo,Auditoría de acceso mensual
RT-002,Router Cisco #2,Router secundario para respaldo,Cisco,ISR 4331,5,IOS-XE,16.9.5,Departamento TI,Equipo Redes,Data Center Secundario,No aplica,6/1/2019,4/15/2023,00:2B:81:76:8D:20,192.168.1.3,Alta,Infrastructura de Red,Operativo,No,Mensual,Actualización de reglas y monitoreo,Auditoría de acceso mensual
